State,County,City
TX,Bastrop,Bastrop
TX,Bastrop,Cedar Creek
TX,Bastrop,Elgin
TX,Bastrop,Lost Pines
TX,Bastrop,Austin
TX,Bell,Temple
TX,Bell,Killeen
TX,Bell,Belton
TX,Bell,Fort Hood
TX,Bell,Salado
TX,Bell,Harker Heights
TX,Bell,Morgans Point
TX,Blanco,Johnson City
TX,Bosque,Clifton
TX,Brown,Brownwood
TX,Burnet,Marble Falls
TX,Burnet,Burnet
TX,Burnet,Spicewood
TX,Burnet,Granite Shoals
TX,Caldwell,Lockhart
TX,Caldwell,Lytton Springs
TX,Coryell,Copperas Cove
TX,Coryell,Gatesville
TX,El paso,El Paso
TX,El paso,Anthony
TX,El paso,Horizon City
TX,Falls,Marlin
TX,Fayette,La Grange
TX,Fayette,Round Top
TX,Freestone,Teague
TX,Hamilton,Hamilton
TX,Hays,San Marcos
TX,Hays,Wimberley
TX,Hays,Buda
TX,Hays,Kyle
TX,Hays,Dripping Springs
TX,Hays,Creedmore
TX,Hays,Niederwald
TX,Hays,Woodcreek
TX,Hays,Georgetown
TX,Hill,Hillsboro
TX,Lampasas,Lampasas
TX,Lee,Giddings
TX,Leon,Jewett
TX,Limestone,Groesbeck
TX,Limestone,Mexia
TX,Llano,Kingsland
TX,Mcculloch,Brady
TX,Mclennan,Waco
TX,Mclennan,Robinson
TX,Mclennan,Hewitt
TX,Mclennan,West
TX,Mclennan,Woodway
TX,Mclennan,Robison
TX,Milam,Cameron
TX,Milam,Rockdale
TX,Mills,Goldthwaite
TX,Potter,Woodway
TX,Robertson,Franklin
TX,San saba,San Saba
TX,Tom green,San Angelo
TX,Tom green,Carlsbad
TX,Travis,Austin
TX,Travis,Lago Vista
TX,Travis,Pflugerville
TX,Travis,Lakeway
TX,Travis,Horseshoe Bay
TX,Travis,Manchaca
TX,Travis,Del Valle
TX,Travis,Georgetown
TX,Travis,Sunset Valley
TX,Travis,Jonestown
TX,Travis,Manor
TX,Travis,Bee Cave
TX,Travis,Bee Caves
TX,Travis,West Lake Hills
TX,Travis,Dripping Springs
TX,Travis,Round Rock
TX,Travis,Cedar Park
TX,Travis,Fflugerville
TX,Travis,Westlake Hills
TX,Travis,San Marcos
TX,Williamson,Austin
TX,Williamson,Georgetown
TX,Williamson,Round Rock
TX,Williamson,Cedar Park
TX,Williamson,Leander
TX,Williamson,Taylor
TX,Williamson,Liberty Hill
TX,Williamson,Florence
TX,Williamson,Volente
TX,Williamson,Hutto
TX,Williamson,Jarrell
