Name,Lat,Lng,Color
"Bastrop, Bastrop, TX",30.1104947,-97.3152701,2
"Cedar Creek, Bastrop, TX",30.0873153,-97.501432,2
"Elgin, Bastrop, TX",30.3496528,-97.3702735,2
"Lost Pines, Bastrop, TX",30.0873153,-97.501432,2
"Austin, Bastrop, TX",30.1073415,-97.316222,2
"Temple, Bell, TX",31.0982344,-97.342782,1
"Killeen, Bell, TX",31.1171194,-97.72779589999999,0
"Belton, Bell, TX",31.0560132,-97.46445299999999,0
"Fort Hood, Bell, TX",31.13633149999999,-97.7797049,0
"Salado, Bell, TX",30.9471278,-97.53862040000001,0
"Harker Heights, Bell, TX",31.0835102,-97.6597376,0
"Morgans Point, Bell, TX",31.1457322,-97.47528849999999,0
"Johnson City, Blanco, TX",30.2767408,-98.41198109999999,0
"Clifton, Bosque, TX",31.78237979999999,-97.5766862,1
"Brownwood, Brown, TX",31.7093197,-98.9911611,4
"Marble Falls, Burnet, TX",30.5782297,-98.2729184,0
"Burnet, Burnet, TX",30.75823759999999,-98.2283585,0
"Spicewood, Burnet, TX",30.4760499,-98.15657399999999,0
"Granite Shoals, Burnet, TX",30.5869512,-98.3816672,0
"Lockhart, Caldwell, TX",29.8849441,-97.6699996,2
"Lytton Springs, Caldwell, TX",30.0046629,-97.61249889999999,2
"Copperas Cove, Coryell, TX",31.124062,-97.90307849999999,0
"Gatesville, Coryell, TX",31.4351645,-97.743911,0
"El Paso, El paso, TX",31.7618778,-106.4850217,3
"Anthony, El paso, TX",31.9992676,-106.6055478,3
"Horizon City, El paso, TX",31.69261209999999,-106.2074793,3
"Marlin, Falls, TX",31.3062874,-96.89804389999999,1
"La Grange, Fayette, TX",29.9055033,-96.87664699999999,2
"Round Top, Fayette, TX",30.0652201,-96.6960867,2
"Teague, Freestone, TX",31.6271145,-96.28386200000001,1
"Hamilton, Hamilton, TX",31.7037655,-98.1239231,0
"San Marcos, Hays, TX",29.8832749,-97.9413941,2
"Wimberley, Hays, TX",29.9974362,-98.0986204,2
"Buda, Hays, TX",30.0817231,-97.8428927,2
"Kyle, Hays, TX",29.9891052,-97.87722670000001,2
"Dripping Springs, Hays, TX",30.1902067,-98.0866781,2
"Creedmore, Hays, TX",30.0899368,-97.7338917,2
"Niederwald, Hays, TX",30.009384,-97.72805729999999,2
"Woodcreek, Hays, TX",30.0282683,-98.11112109999999,2
"Georgetown, Hays, TX",30.6933064,-97.73146899999999,0
"Hillsboro, Hill, TX",32.0109886,-97.13000609999999,1
"Lampasas, Lampasas, TX",31.06378399999999,-98.18169569999999,0
"Giddings, Lee, TX",30.1827159,-96.93637100000001,2
"Jewett, Leon, TX",31.3615664,-96.1441315,1
"Groesbeck, Limestone, TX",31.5243379,-96.5338693,1
"Mexia, Limestone, TX",31.6798895,-96.482203,1
"Kingsland, Llano, TX",30.6582405,-98.44058489999999,0
"Brady, Mcculloch, TX",31.1351682,-99.3350552,4
"Waco, Mclennan, TX",31.549333,-97.1466695,1
"Robinson, Mclennan, TX",31.4676687,-97.1147225,1
"Hewitt, Mclennan, TX",31.46239019999999,-97.1958377,1
"West, Mclennan, TX",31.8023057,-97.0909551,1
"Woodway, Mclennan, TX",31.5059998,-97.20500550000001,1
"Robison, Mclennan, TX",31.4676687,-97.1147225,1
"Cameron, Milam, TX",30.8532454,-96.9769304,1
"Rockdale, Milam, TX",30.6554759,-97.00137439999999,1
"Goldthwaite, Mills, TX",31.4498855,-98.5708763,4
"Woodway, Potter, TX",31.5059998,-97.20500550000001,1
"Franklin, Robertson, TX",31.0260194,-96.4852444,1
"San Saba, San saba, TX",31.1957234,-98.718098,4
"San Angelo, Tom green, TX",31.4637723,-100.4370375,4
"Carlsbad, Tom green, TX",31.6056884,-100.643744,4
"Austin, Travis, TX",30.267153,-97.7430608,2
"Lago Vista, Travis, TX",30.4601975,-97.98834769999999,0
"Pflugerville, Travis, TX",30.4548451,-97.6222665,2
"Lakeway, Travis, TX",30.3679788,-97.99167899999999,2
"Horseshoe Bay, Travis, TX",30.5440884,-98.36984609999999,0
"Manchaca, Travis, TX",30.1405249,-97.8330491,2
"Del Valle, Travis, TX",30.2091069,-97.6472349,2
"Georgetown, Travis, TX",30.7240922,-97.7317872,0
"Sunset Valley, Travis, TX",30.2285878,-97.8150412,2
"Jonestown, Travis, TX",30.4954748,-97.9233468,0
"Manor, Travis, TX",30.3407629,-97.55694559999999,2
"Bee Cave, Travis, TX",30.306098,-97.9523768,2
"Bee Caves, Travis, TX",30.306098,-97.9523768,2
"West Lake Hills, Travis, TX",30.2979843,-97.8019515,2
"Dripping Springs, Travis, TX",30.3423832,-98.1269025,2
"Round Rock, Travis, TX",30.5082551,-97.678896,2
"Cedar Park, Travis, TX",30.505198,-97.8202888,2
"Fflugerville, Travis, TX",30.4548451,-97.6222665,2
"Westlake Hills, Travis, TX",30.2979843,-97.8019515,2
"San Marcos, Travis, TX",29.8962969,-97.92374950000001,2
"Austin, Williamson, TX",30.267153,-97.7430608,2
"Georgetown, Williamson, TX",30.6332618,-97.6779842,0
"Round Rock, Williamson, TX",30.5082551,-97.678896,2
"Cedar Park, Williamson, TX",30.505198,-97.8202888,2
"Leander, Williamson, TX",30.5788055,-97.8530686,0
"Taylor, Williamson, TX",30.5701906,-97.4097331,2
"Liberty Hill, Williamson, TX",30.6649119,-97.9225161,0
"Florence, Williamson, TX",30.8412954,-97.79362680000001,0
"Volente, Williamson, TX",30.4338108,-97.9036227,2
"Hutto, Williamson, TX",30.54269949999999,-97.5466702,2
"Jarrell, Williamson, TX",30.824616,-97.6043608,0
