Name,Lat,Lng,Color
"Orange, Orange, TX",30.0929879,-93.7365549,Beaumont
"Kountze, Hardin, TX",30.3715975,-94.3124116,Beaumont
"Beaumont, Jefferson, TX",30.080174,-94.1265562,Beaumont
"Port Arthur, Jefferson, TX",29.8849504,-93.939947,Beaumont
"Houston, Harris, TX",29.7604267,-95.3698028,Pasadena
"Brenham, Washington, TX",30.1668828,-96.3977442,Cypress
"Bellaire, Harris, TX",29.7057858,-95.4588299,Pasadena
"Baytown, Harris, TX",29.7355047,-94.9774274,Pasadena
"Kemah, Galveston, TX",29.5427297,-95.0204837,Pasadena
"League City, Galveston, TX",29.5074538,-95.0949303,Pasadena
"College Station, Brazos, TX",30.627977,-96.3344068,College Station
"Bryan, Brazos, TX",30.6743643,-96.3699632,College Station
"Spring, Harris, TX",30.0799405,-95.4171601,Cypress
"Spring, Montgomery, TX",30.3880218,-95.7122988,Cypress
"Galveston, Galveston, TX",29.3013479,-94.7976958,Pasadena
"The Woodlands, Montgomery, TX",30.1658207,-95.4612625,Cypress
"Navasota, Grimes, TX",30.3879845,-96.0877349,Cypress
"Conroe, Montgomery, TX",30.3118769,-95.4560512,Cypress
"Sugar Land, Fort bend, TX",29.5984434,-95.6225521,Pasadena
"Nederland, Jefferson, TX",29.9743803,-93.9923965,Beaumont
"Wharton, Wharton, TX",29.3116366,-96.1027371,El Campo
"Clute, Brazoria, TX",29.0246906,-95.3988291,Pasadena
"Lake Jackson, Brazoria, TX",29.0338575,-95.4343859,Pasadena
"Angleton, Brazoria, TX",29.16941,-95.4318847,Pasadena
"Texas City, Galveston, TX",29.383845,-94.9027002,Pasadena
"Channelview, Harris, TX",29.7760599,-95.1146533,Pasadena
"Jasper, Jasper, TX",30.920823,-93.9968812,Beaumont
"Huntsville, Walker, TX",30.7235263,-95.5507771,Cypress
"Magnolia, Montgomery, TX",30.2093794,-95.7507815,Cypress
"Alvin, Brazoria, TX",29.4238472,-95.2441009,Pasadena
"Cleveland, Liberty, TX",30.34132,-95.0854885,Cypress
"La Porte, Harris, TX",29.6657838,-95.0193728,Pasadena
"Richmond, Fort bend, TX",29.5821811,-95.7607832,Cypress
"Missouri City, Fort bend, TX",29.6185669,-95.5377215,Pasadena
"Prairie View, Waller, TX",30.0932737,-95.9877339,Cypress
"Deer Park, Harris, TX",29.7052284,-95.1238204,Pasadena
"Webster, Harris, TX",29.5377315,-95.1182645,Pasadena
"Freeport, Brazoria, TX",28.9541368,-95.3596617,Pasadena
"Humble, Harris, TX",29.9988312,-95.2621553,Pasadena
"Port Lavaca, Calhoun, TX",28.6149968,-96.6260892,El Campo
"Channel View, Harris, TX",29.7760599,-95.1146533,Pasadena
"Katy, Harris, TX",29.7857765,-95.8245093,Cypress
"Columbus, Colorado, TX",29.7066232,-96.5396933,El Campo
"Hempstead, Waller, TX",30.0974405,-96.0782918,Cypress
"Willis, Montgomery, TX",30.4249276,-95.4799418,Cypress
"Cypress, Harris, TX",29.9716905,-95.6937856,Cypress
"Nassau Bay, Harris, TX",29.5446753,-95.0910413,Pasadena
"Seabrook, Harris, TX",29.5641184,-95.0254839,Pasadena
"El Campo, Wharton, TX",29.1966405,-96.2696867,El Campo
"Edna, Jackson, TX",28.9785947,-96.6460877,El Campo
"Sealy, Austin, TX",29.7807878,-96.1571833,Cypress
"Bay City, Matagorda, TX",28.9827565,-95.969402,El Campo
"Stafford, Fort bend, TX",29.6160671,-95.5577221,Pasadena
"Shiner, Lavaca, TX",29.4291304,-97.1705425,El Campo
"Silsbee, Hardin, TX",30.3490976,-94.1779624,Beaumont
"Montgomery, Montgomery, TX",30.3882613,-95.6963355,Cypress
"Woodville, Tyler, TX",30.7753454,-94.4148791,Beaumont
"Tomball, Harris, TX",30.0971621,-95.6160549,Cypress
"Galena Park, Harris, TX",29.7335616,-95.2302123,Pasadena
"Pearland, Brazoria, TX",29.5635666,-95.2860474,Pasadena
"Bellville, Austin, TX",29.9502253,-96.2571858,Cypress
"New Caney, Montgomery, TX",30.1550179,-95.2155158,Cypress
"Katy, Fort bend, TX",29.7857765,-95.8245093,Cypress
"Port Neches, Jefferson, TX",29.9913244,-93.9585067,Beaumont
"Friendswood, Harris, TX",29.5293998,-95.2010447,Pasadena
"Porter, Montgomery, TX",30.1044506,-95.2364276,Cypress
"Mont Belvieu, Chambers, TX",29.8477222,-94.890758,Pasadena
"Eagle Lake, Colorado, TX",29.5896836,-96.3335769,El Campo
"Dickinson, Galveston, TX",29.4607876,-95.0513172,Pasadena
"Jacinto City, Harris, TX",29.7677258,-95.2338319,Pasadena
"Dallas, Dallas, TX",32.7766642,-96.7969879,College Station
"Rosenberg, Fort bend, TX",29.5571825,-95.8085623,Cypress
"Clear Lake Shores, Galveston, TX",29.547452,-95.0321506,Pasadena
"Pasadena, Harris, TX",29.6910625,-95.2091006,Pasadena
"Brookshire, Waller, TX",29.7860643,-95.9510661,Cypress
"Anahuac, Chambers, TX",29.7730001,-94.6826961,Pasadena
"Old Ocean, Brazoria, TX",29.0799726,-95.749673,El Campo
"Livingston, Polk, TX",30.7110216,-94.9330202,Beaumont
"Vidor, Orange, TX",30.1316001,-94.0154541,Beaumont
"Fresno, Fort bend, TX",29.5388465,-95.4474414,Pasadena
"Klein, Harris, TX",30.0477196,-95.5324411,Cypress
"Groves, Jefferson, TX",29.9482695,-93.9171155,Beaumont
"Dayton, Liberty, TX",30.0466051,-94.8852026,Pasadena
"Santa Fe, Galveston, TX",29.3780129,-95.1057625,Pasadena
"Rosenburg, Fort bend, TX",29.5571825,-95.8085623,Cypress
"Shenandoah, Montgomery, TX",30.1802151,-95.4557726,Cypress
"Liberty, Liberty, TX",30.057993,-94.7954783,Beaumont
"Crosby, Harris, TX",29.9118885,-95.0621512,Pasadena
"West Columbia, Brazoria, TX",29.1438582,-95.6452249,Pasadena
"Jamaica Beach, Galveston, TX",29.189684,-94.9796456,Pasadena
"Splendora, Montgomery, TX",30.2329914,-95.1610438,Cypress
"Baytown, Chambers, TX",29.7355047,-94.9774274,Pasadena
"Webster, Galveston, TX",29.5377315,-95.1182645,Pasadena
"Prairie View, Galveston, TX",29.5966678,-95.565656,Pasadena
"El Lago, Harris, TX",29.5732685,-95.0429558,Pasadena
"Needville, Fort bend, TX",29.3994101,-95.8377297,El Campo
"South Houston, Harris, TX",29.663008,-95.2354902,Pasadena
"Trinity, Trinity, TX",30.9463502,-95.3733874,Cypress
"Plantersville, Grimes, TX",30.3329856,-95.8618958,Cypress
"Bridge City, Orange, TX",30.0207678,-93.8457255,Beaumont
"Broaddus, San augustine, TX",31.300783,-94.2734546,Beaumont
"Port Bolivar, Galveston, TX",29.3807901,-94.7643623,Pasadena
"Lumberton, Hardin, TX",30.2657655,-94.1996286,Beaumont
"Hitchcock, Galveston, TX",29.3482905,-95.0160368,Pasadena
"Jersey Village, Harris, TX",29.887725,-95.5629984,Cypress
"Fulshear, Fort bend, TX",29.6931119,-95.8998969,Cypress
"Manvel, Brazoria, TX",29.4627365,-95.357994,Pasadena
"Huffman, Harris, TX",30.0260425,-95.084261,Pasadena
"Schulenburg, Fayette, TX",29.6819003,-96.9030365,El Campo
"Kingwood, Harris, TX",30.0500255,-95.1844774,Pasadena
"The Woodlands, Harris, TX",30.1658207,-95.4612625,Cypress
"Hearne, Robertson, TX",30.8785238,-96.5930258,College Station
"Fulshear, Harris, TX",29.6931119,-95.8998969,Cypress
"Waller, Waller, TX",30.0566085,-95.9268986,Cypress
"The Woodlands, Walker, TX",30.2114144,-95.5286571,Cypress
"Winnie, Chambers, TX",29.8202205,-94.3840777,Beaumont
"Hockley, Harris, TX",30.026861,-95.8458562,Cypress
"Alvin, Harris, TX",29.4238472,-95.2441009,Pasadena
"Bacliff, Galveston, TX",29.5068965,-94.992427,Pasadena
"Oak Ridge North, Montgomery, TX",30.1571758,-95.4461148,Cypress
"Sour Lake, Hardin, TX",30.1402122,-94.4110239,Beaumont
"Crystal Beach, Galveston, TX",29.457177,-94.6396378,Pasadena
"West University, Harris, TX",29.7180075,-95.4338292,Pasadena
"Groveton, Trinity, TX",31.0553605,-95.1266751,Beaumont
"Lakeway, Harris, TX",30.3539473,-97.9624898,College Station
"Katy, Austin, TX",30.2531524,-97.7685941,College Station
"Missouri City, Austin, TX",29.6185669,-95.5377215,Pasadena
"Anywhere, Brazoria, TX",29.0476048,-95.5714424,Pasadena
"Mt Belvieu, Chambers, TX",29.8477222,-94.890758,Pasadena
"Round Rock, Williamson, TX",30.5082551,-97.678896,College Station
"Palacios, Matagorda, TX",28.7080461,-96.217467,El Campo
"Navasota, Burleson, TX",30.3839023,-96.0902553,Cypress
"Richmond, Harris, TX",29.5821811,-95.7607832,Cypress
"The Woodlands, Grimes, TX",30.158167,-95.4705924,Cypress
"Houston, Montgomery, TX",30.3884179,-95.7009844,Cypress
"Beaumont, Harris, TX",29.8371693,-95.1996551,Pasadena
"Houston, Fort bend, TX",29.5692614,-95.8142885,Cypress
"Highlands, Harris, TX",29.818836,-95.0560404,Pasadena
"Sugarland, Fort bend, TX",29.5984434,-95.6225521,Pasadena
"Corpus Christi, Harris, TX",27.736618,-97.3940398,El Campo
"Hedwig Village, Montgomery, TX",29.7825542,-95.5183574,Cypress
"Tomball, Montgomery, TX",30.0971621,-95.6160549,Cypress
"Atascocita, Harris, TX",29.9988306,-95.1765978,Pasadena
"Pearland, Harris, TX",29.5635666,-95.2860474,Pasadena
"Hedwig Village, Harris, TX",29.7809441,-95.5212311,Cypress
"College Station, Harris, TX",30.5814696,-96.2904548,College Station
"Meadows Place, Fort bend, TX",29.6513643,-95.5880883,Pasadena
