State,County,City
TX,Orange,Orange
TX,Hardin,Kountze
TX,Jefferson,Beaumont
TX,Jefferson,Port Arthur
TX,Harris,Houston
TX,Washington,Brenham
TX,Harris,Bellaire
TX,Harris,Baytown
TX,Galveston,Kemah
TX,Galveston,League City
TX,Brazos,College Station
TX,Brazos,Bryan
TX,Harris,Spring
TX,Montgomery,Spring
TX,Galveston,Galveston
TX,Montgomery,The Woodlands
TX,Grimes,Navasota
TX,Montgomery,Conroe
TX,Fort bend,Sugar Land
TX,Jefferson,Nederland
TX,Wharton,Wharton
TX,Brazoria,Clute
TX,Brazoria,Lake Jackson
TX,Brazoria,Angleton
TX,Galveston,Texas City
TX,Harris,Channelview
TX,Jasper,Jasper
TX,Walker,Huntsville
TX,Montgomery,Magnolia
TX,Brazoria,Alvin
TX,Liberty,Cleveland
TX,Harris,La Porte
TX,Fort bend,Richmond
TX,Fort bend,Missouri City
TX,Waller,Prairie View
TX,Harris,Deer Park
TX,Harris,Webster
TX,Brazoria,Freeport
TX,Harris,Humble
TX,Calhoun,Port Lavaca
TX,Harris,Channel View
TX,Harris,Katy
TX,Colorado,Columbus
TX,Waller,Hempstead
TX,Montgomery,Willis
TX,Harris,Cypress
TX,Harris,Nassau Bay
TX,Harris,Seabrook
TX,Wharton,El Campo
TX,Jackson,Edna
TX,Austin,Sealy
TX,Matagorda,Bay City
TX,Fort bend,Stafford
TX,Lavaca,Shiner
TX,Hardin,Silsbee
TX,Montgomery,Montgomery
TX,Tyler,Woodville
TX,Harris,Tomball
TX,Harris,Galena Park
TX,Brazoria,Pearland
TX,Austin,Bellville
TX,Montgomery,New Caney
TX,Fort bend,Katy
TX,Jefferson,Port Neches
TX,Harris,Friendswood
TX,Montgomery,Porter
TX,Chambers,Mont Belvieu
TX,Colorado,Eagle Lake
TX,Galveston,Dickinson
TX,Harris,Jacinto City
TX,Dallas,Dallas
TX,Fort bend,Rosenberg
TX,Galveston,Clear Lake Shores
TX,Harris,Pasadena
TX,Waller,Brookshire
TX,Chambers,Anahuac
TX,Brazoria,Old Ocean
TX,Polk,Livingston
TX,Orange,Vidor
TX,Fort bend,Fresno
TX,Harris,Klein
TX,Jefferson,Groves
TX,Liberty,Dayton
TX,Galveston,Santa Fe
TX,Fort bend,Rosenburg
TX,Montgomery,Shenandoah
TX,Liberty,Liberty
TX,Harris,Crosby
TX,Brazoria,West Columbia
TX,Galveston,Jamaica Beach
TX,Montgomery,Splendora
TX,Chambers,Baytown
TX,Galveston,Webster
TX,Galveston,Prairie View
TX,Harris,El Lago
TX,Fort bend,Needville
TX,Harris,South Houston
TX,Trinity,Trinity
TX,Grimes,Plantersville
TX,Orange,Bridge City
TX,San augustine,Broaddus
TX,Galveston,Port Bolivar
TX,Hardin,Lumberton
TX,Galveston,Hitchcock
TX,Harris,Jersey Village
TX,Fort bend,Fulshear
TX,Brazoria,Manvel
TX,Harris,Huffman
TX,Fayette,Schulenburg
TX,Harris,Kingwood
TX,Harris,The Woodlands
TX,Robertson,Hearne
TX,Harris,Fulshear
TX,Waller,Waller
TX,Walker,The Woodlands
TX,Chambers,Winnie
TX,Harris,Hockley
TX,Harris,Alvin
TX,Galveston,Bacliff
TX,Montgomery,Oak Ridge North
TX,Hardin,Sour Lake
TX,Galveston,Crystal Beach
TX,Harris,West University
TX,Trinity,Groveton
TX,Harris,Lakeway
TX,Austin,Katy
TX,Austin,Missouri City
TX,Brazoria,Anywhere
TX,Chambers,Mt Belvieu
TX,Williamson,Round Rock
TX,Matagorda,Palacios
TX,Burleson,Navasota
TX,Harris,Richmond
TX,Grimes,The Woodlands
TX,Montgomery,Houston
TX,Harris,Beaumont
TX,Fort bend,Houston
TX,Harris,Highlands
TX,Fort bend,Sugarland
TX,Harris,Corpus Christi
TX,Brazoria,Seabrook
TX,Montgomery,Hedwig Village
TX,Montgomery,Tomball
TX,Harris,Atascocita
TX,Harris,Pearland
TX,Harris,Hedwig Village
TX,Harris,College Station
TX,Fort bend,Meadows Place
