Name,Lat,Lng,Color
"Alachua, FL",29.7938144,-82.4944226,1
"Alys Beach, FL",30.2835346,-86.0304942,3
"Amelia Island, FL",30.6265697,-81.460856,4
"Anastasia Island, FL",29.8531411,-81.2794123,4
"Atlantic Bch, FL",30.3344077,-81.398696,4
"Atlantic Beach, FL",30.3344077,-81.398696,4
"Bayard, FL",30.1416601,-81.5136955,4
"Callahan, FL",30.5621807,-81.8306621,4
"Callaway, FL",30.1453538,-85.5743227,3
"Cape San Blas, FL",29.6675478,-85.3524776,3
"Carrabelle, FL",29.8532645,-84.664348,3
"Cedar Key, FL",29.1385785,-83.0351212,1
"Crawfordville, FL",30.1944839,-84.3711207,3
"Crescent Bch, FL",29.76886,-81.2536786,4
"Crescent Beach, FL",29.76886,-81.2536786,4
"Crestview, FL",30.7541808,-86.5727995,3
"Destin, FL",30.3935337,-86.4957833,3
"East Point, FL",29.7361695,-84.8880506,3
"Fanning Springs, FL",29.5907915,-82.9292906,1
"Fernandia Beach, FL",30.6696818,-81.4625919,4
"Fernandina Bch, FL",30.6696818,-81.4625919,4
"Fernandina Beach, FL",30.6696818,-81.4625919,4
"Fleming Island, FL",30.0847449,-81.7183733,4
"Fort Walton Beach, FL",30.4200708,-86.6170308,3
"Fruit Cove, FL",30.1110746,-81.641758,4
"Gainesville, FL",29.6516344,-82.3248262,1
"Gainsesville, FL",29.6516344,-82.3248262,1
"Green Cove Springs, FL",29.9919085,-81.6781467,4
"Gulf Breeze, FL",30.3571438,-87.1638574,3
"Hastings, FL",29.7180248,-81.5081338,4
"High Springs, FL",29.8269064,-82.5967832,1
"Holmes Beach, FL",27.4953156,-82.7109329,0
"Inlet Beach, FL",30.2764344,-86.0081292,3
"Jacksonville, FL",30.3321838,-81.655651,4
"Jacksonville Bch, FL",30.2841224,-81.3961338,4
"Jacksonville Beach, FL",30.2841224,-81.3961338,4
"Jacksonvlle, FL",30.3321838,-81.655651,4
"Keystone Heights, FL",29.7860769,-82.0314892,1
"Lake City, FL",30.1896756,-82.6392899,1
"Live Oak, FL",30.2949457,-82.98402,1
"Macclenny, FL",30.2821807,-82.1220569,1
"Madison, FL",30.4693772,-83.4129254,1
"Marianna, FL",30.7743596,-85.2268735,3
"Marineland, FL",29.6688614,-81.213398,4
"Mexico Beach, FL",29.9479833,-85.4179766,3
"Miami, FL",25.7616798,-80.1917902,0
"Middleburg, FL",30.0688512,-81.8603778,4
"Miramar, FL",25.9860762,-80.3035602,0
"Miramar Bch, FL",30.374367,-86.3585578,3
"Miramar Beach, FL",30.374367,-86.3585578,3
"N Ponte Vedra, FL",30.2400058,-81.3852595,4
"Orange Park, FL",30.1660736,-81.706484,4
"Palatka, FL",29.6485801,-81.6375819,4
"Panacea, FL",30.0291195,-84.3986166,3
"Panama City, FL",30.1588129,-85.6602058,3
"Panama City Bch, FL",30.1765914,-85.8054879,3
"Panama City Beach, FL",30.1765914,-85.8054879,3
"Pensacola, FL",30.421309,-87.2169149,3
"Pensacola Bch, FL",30.3337006,-87.1411089,3
"Pensacola Beach, FL",30.3337006,-87.1411089,3
"Ponte Vedra, FL",30.2400058,-81.3852595,4
"Ponte Vedra Bch, FL",30.2400058,-81.3852595,4
"Ponte Vedra Beach, FL",30.2400058,-81.3852595,4
"Ponte Verda Bch, FL",30.2400058,-81.3852595,4
"Ponte Verdra Bch, FL",30.2400058,-81.3852595,4
"Port Saint Joe, FL",29.8118757,-85.302974,3
"Port St Joe, FL",29.8118757,-85.302974,3
"Quincy, FL",30.5880468,-84.591058,3
"Raiford, FL",30.0638497,-82.2364997,1
"Rosemary Beach, FL",30.2806316,-86.0177921,3
"Saint Augustine, FL",29.9012437,-81.3124341,4
"Saint Augustine Beac, FL",29.8439828,-81.2711546,4
"Saint Johns, FL",30.0820653,-81.5471201,4
"Satsuma, FL",29.5549701,-81.6559137,4
"Seacrest, FL",30.2902552,-86.0492062,3
"Seacrest Beach, FL",30.2806316,-86.0177921,3
"Seagrove Bch, FL",30.3170641,-86.1294365,3
"St Augustine, FL",29.9012437,-81.3124341,4
"St Augustine Bch, FL",29.8439828,-81.2711546,4
"St Augustine Beach, FL",29.8439828,-81.2711546,4
"St George Island, FL",29.6584899,-84.8802444,3
"St. Augustine, FL",29.9012437,-81.3124341,4
"St. George Island, FL",29.6584899,-84.8802444,3
"St. Johns, FL",30.0820653,-81.5471201,4
"St. Marks, FL",30.1610379,-84.2062825,3
"Starke, FL",29.9441298,-82.1098275,1
"Tallahassee, FL",30.4382559,-84.2807329,3
"Trenton, FL",29.6132942,-82.8176203,1
"Watersound, FL",30.2950279,-86.0259582,3
"White Springs, FL",30.3296697,-82.7590165,1
"Yulee, FL",30.6319034,-81.6064866,4
