Name,Lat,Lng,Color
"Alachua, FL",29.7938144,-82.49442260000001,0
"Alys Beach, FL",30.2835346,-86.03049419999999,0
"Amelia Island, FL",30.6265697,-81.46085599999999,0
"Anastasia Island, FL",29.8531411,-81.27941229999999,0
"Atlantic Bch, FL",30.3344077,-81.398696,1
"Atlantic Beach, FL",30.3344077,-81.398696,2
"Bayard, FL",30.1416601,-81.5136955,3
"Callahan, FL",30.5621807,-81.8306621,1
"Callaway, FL",30.1453538,-85.5743227,2
"Cape San Blas, FL",29.6675478,-85.3524776,2
"Carrabelle, FL",29.85326449999999,-84.66434799999999,0
"Cedar Key, FL",29.1385785,-83.03512119999999,1
"Crawfordville, FL",30.19448389999999,-84.37112069999999,1
"Crescent Bch, FL",29.76886,-81.2536786,1
"Crescent Beach, FL",29.76886,-81.2536786,2
"Crestview, FL",30.7541808,-86.5727995,3
"Destin, FL",30.3935337,-86.4957833,1
"East Point, FL",29.7361695,-84.8880506,1
"Fanning Springs, FL",29.5907915,-82.9292906,2
"Fernandia Beach, FL",30.6696818,-81.46259189999999,2
"Fernandina Bch, FL",30.6696818,-81.46259189999999,3
"Fernandina Beach, FL",30.6696818,-81.46259189999999,1
"Fleming Island, FL",30.0847449,-81.71837330000001,0
"Fort Walton Beach, FL",30.42007079999999,-86.6170308,0
"Fruit Cove, FL",30.1110746,-81.641758,3
"Gainesville, FL",29.6516344,-82.32482619999999,3
"Gainsesville, FL",29.6516344,-82.32482619999999,2
"Green Cove Springs, FL",29.9919085,-81.6781467,1
"Gulf Breeze, FL",30.3571438,-87.1638574,3
"Hastings, FL",29.71802479999999,-81.5081338,0
"High Springs, FL",29.8269064,-82.59678319999999,3
"Holmes Beach, FL",27.4953156,-82.7109329,0
"Inlet Beach, FL",30.2764344,-86.0081292,1
"Jacksonville, FL",30.3321838,-81.65565099999999,3
"Jacksonville Bch, FL",30.2841224,-81.3961338,2
"Jacksonville Beach, FL",30.2841224,-81.3961338,3
"Jacksonvlle, FL",30.3321838,-81.65565099999999,0
"Keystone Heights, FL",29.7860769,-82.0314892,2
"Lake City, FL",30.1896756,-82.6392899,1
"Live Oak, FL",30.2949457,-82.98402000000002,1
"Macclenny, FL",30.2821807,-82.12205689999999,0
"Madison, FL",30.4693772,-83.41292539999999,3
"Marianna, FL",30.7743596,-85.2268735,0
"Marineland, FL",29.6688614,-81.213398,3
"Mexico Beach, FL",29.9479833,-85.4179766,3
"Miami, FL",25.7616798,-80.1917902,3
"Middleburg, FL",30.0688512,-81.8603778,3
"Miramar, FL",25.9860762,-80.30356019999999,2
"Miramar Bch, FL",30.374367,-86.3585578,3
"Miramar Beach, FL",30.374367,-86.3585578,0
"N Ponte Vedra, FL",30.2400058,-81.3852595,2
"Orange Park, FL",30.1660736,-81.706484,1
"Palatka, FL",29.6485801,-81.6375819,2
"Panacea, FL",30.0291195,-84.3986166,2
"Panama City, FL",30.1588129,-85.6602058,0
"Panama City Bch, FL",30.1765914,-85.8054879,3
"Panama City Beach, FL",30.1765914,-85.8054879,0
"Pensacola, FL",30.42130899999999,-87.2169149,0
"Pensacola Bch, FL",30.3337006,-87.14110889999999,1
"Pensacola Beach, FL",30.3337006,-87.14110889999999,2
"Ponte Vedra, FL",30.2400058,-81.3852595,3
"Ponte Vedra Bch, FL",30.2400058,-81.3852595,1
"Ponte Vedra Beach, FL",30.2400058,-81.3852595,0
"Ponte Verda Bch, FL",30.2400058,-81.3852595,1
"Ponte Verdra Bch, FL",30.2400058,-81.3852595,2
"Port Saint Joe, FL",29.8118757,-85.30297399999999,0
"Port St Joe, FL",29.8118757,-85.30297399999999,1
"Quincy, FL",30.5880468,-84.59105799999999,0
"Raiford, FL",30.0638497,-82.2364997,3
"Rosemary Beach, FL",30.2806316,-86.0177921,2
"Saint Augustine, FL",29.9012437,-81.31243409999999,3
"Saint Augustine Beac, FL",29.8439828,-81.2711546,1
"Saint Johns, FL",30.0820653,-81.5471201,3
"Satsuma, FL",29.5549701,-81.6559137,0
"Seacrest, FL",30.2902552,-86.0492062,3
"Seacrest Beach, FL",30.2806316,-86.0177921,0
"Seagrove Bch, FL",30.3170641,-86.1294365,1
"St Augustine, FL",29.9012437,-81.31243409999999,0
"St Augustine Bch, FL",29.8439828,-81.2711546,2
"St Augustine Beach, FL",29.8439828,-81.2711546,0
"St George Island, FL",29.6584899,-84.8802444,2
"St. Augustine, FL",29.9012437,-81.31243409999999,2
"St. George Island, FL",29.6584899,-84.8802444,3
"St. Johns, FL",30.0820653,-81.5471201,3
"St. Marks, FL",30.1610379,-84.2062825,3
"Starke, FL",29.9441298,-82.1098275,3
"Tallahassee, FL",30.4382559,-84.28073289999999,3
"Trenton, FL",29.6132942,-82.8176203,1
"Watersound, FL",30.2950279,-86.02595819999999,2
"White Springs, FL",30.3296697,-82.75901650000002,2
"Yulee, FL",30.6319034,-81.6064866,2
