District,City,State,Zip,County
Miami,Delray Beach,FL,33069,Broward
Miami,Tamarac,FL,33321,Broward
Miami,Tamarac,FL,33351,Broward
Miami,Cape Haze,FL,33946,Charlotte
Miami,Charlotte Harbor,FL,33980,Charlotte
Miami,Placida,FL,33946,Charlotte
Miami,Port Charlotte,FL,33952,Charlotte
Miami,Port Charlotte,FL,33948,Charlotte
Miami,Port Charlotte,FL,33980,Charlotte
Miami,Port Charlotte,FL,33983,Charlotte
Miami,Port Charlotte,FL,33954,Charlotte
Miami,Port Charlotte,FL,33953,Charlotte
Miami,Port Charlotte,FL,33981,Charlotte
Miami,Pt Charlotte,FL,33953,Charlotte
Miami,Pt Charlotte,FL,33952,Charlotte
Miami,Punta Gorda,FL,33950,Charlotte
Miami,Punta Gorda,FL,33955,Charlotte
Miami,Punta Gorda,FL,33980,Charlotte
Miami,Punta Gorda,FL,33951,Charlotte
Miami,Punta Gorda,FL,33993,Charlotte
Miami,Punta Gorda,FL,33982,Charlotte
Miami,Punta Gorda,FL,33983,Charlotte
Miami,Punta Gorda Isles,FL,33950,Charlotte
Miami,Ave Maria,FL,34142,Collier
Miami,Bonita Springs,FL,34134,Collier
Miami,Estero,FL,33928,Collier
Miami,Fort Myers,FL,33908,Collier
Miami,Fort Myers,FL,33966,Collier
Miami,Ft Myers,FL,33908,Collier
Miami,Golden Gate,FL,34116,Collier
Miami,Immokalee,FL,34142,Collier
Miami,Marco Is,FL,34145,Collier
Miami,Marco Isl,FL,34145,Collier
Miami,Marco Island,FL,34145,Collier
Miami,Marco Island,FL,33937,Collier
Miami,Marco Island,FL,34135,Collier
Miami,Marco Island,FL,34114,Collier
Miami,Miromar Lakes,FL,33913,Collier
Miami,Naples,FL,34102,Collier
Miami,Naples,FL,34103,Collier
Miami,Naples,FL,34113,Collier
Miami,Naples,FL,33940,Collier
Miami,Naples,FL,34108,Collier
Miami,Naples,FL,34114,Collier
Miami,Naples,FL,34112,Collier
Miami,Naples,FL,34110,Collier
Miami,Naples,FL,34105,Collier
Miami,Naples,FL,34104,Collier
Miami,Naples,FL,33942,Collier
Miami,Naples,FL,34116,Collier
Miami,Naples,FL,34119,Collier
Miami,Naples,FL,33941,Collier
Miami,Naples,FL,34109,Collier
Miami,Naples,FL,34120,Collier
Miami,Naples,FL,34117,Collier
Miami,Naples,FL,34101,Collier
Miami,Naples,FL,34107,Collier
Miami,South Immokalee,FL,34142,Collier
Miami,West Naples,FL,34120,Collier
Miami,Stuart,FL,34994,Dade
Miami,West Palm Beach,FL,33179,Dade
Miami,Lake Suzy,FL,34269,DeSoto
Miami,Clewiston,FL,33440,Hendry
Miami,Labelle,FL,33935,Hendry
Miami,Port Charlotte,FL,33948,Hillsborough
Miami,Fort Pierce,FL,34949,Indian River
Miami,Estero,FL,33928,Lake
Miami,North Fort Myers,FL,33903,Lake
Miami,Bonita Bch,FL,34134,Lee
Miami,Bonita Beach,FL,34134,Lee
Miami,Bonita Beach,FL,34135,Lee
Miami,Bonita Spgs,FL,34134,Lee
Miami,Bonita Spgs,FL,34135,Lee
Miami,Bonita Springs,FL,34134,Lee
Miami,Bonita Springs,FL,34133,Lee
Miami,Bonita Springs,FL,34135,Lee
Miami,Cape Coral,FL,33904,Lee
Miami,Cape Coral,FL,33990,Lee
Miami,Cape Coral,FL,33993,Lee
Miami,Cape Coral,FL,33991,Lee
Miami,Cape Coral,FL,33914,Lee
Miami,Cape Coral,FL,33909,Lee
Miami,Cape Coral,FL,33930,Lee
Miami,Cape Coral,FL,33915,Lee
Miami,E Fort Myers,FL,33905,Lee
Miami,Estero,FL,33928,Lee
Miami,Estero,FL,34135,Lee
Miami,Fort Myers,FL,33901,Lee
Miami,Fort Myers,FL,33919,Lee
Miami,Fort Myers,FL,33903,Lee
Miami,Fort Myers,FL,33908,Lee
Miami,Fort Myers,FL,33907,Lee
Miami,Fort Myers,FL,33911,Lee
Miami,Fort Myers,FL,33931,Lee
Miami,Fort Myers,FL,33916,Lee
Miami,Fort Myers,FL,33912,Lee
Miami,Fort Myers,FL,33904,Lee
Miami,Fort Myers,FL,33932,Lee
Miami,Fort Myers,FL,33906,Lee
Miami,Fort Myers,FL,33905,Lee
Miami,Fort Myers,FL,33913,Lee
Miami,Fort Myers,FL,33965,Lee
Miami,Fort Myers,FL,33966,Lee
Miami,Fort Myers,FL,33967,Lee
Miami,Fort Myers,FL,33902,Lee
Miami,Fort Myers,FL,33971,Lee
Miami,Fort Myers,FL,34135,Lee
Miami,Fort Myers Bch,FL,33931,Lee
Miami,Fort Myers Beach,FL,33931,Lee
Miami,Fort Myers Beach,FL,33913,Lee
Miami,Ft Myers,FL,33913,Lee
Miami,Ft Myers,FL,33908,Lee
Miami,Ft Myers,FL,33912,Lee
Miami,Ft Myers Bch,FL,33931,Lee
Miami,Ft Myers Bch,FL,33907,Lee
Miami,Ft Myers Bch,FL,33908,Lee
Miami,Ft Myers Beach,FL,33931,Lee
Miami,Ft Myers St,FL,33901,Lee
Miami,Ft Myres,FL,33908,Lee
Miami,Lehigh Acres,FL,33972,Lee
Miami,Lehigh Acres,FL,33936,Lee
Miami,Lehigh Acres,FL,33971,Lee
Miami,Lehigh Acres,FL,33974,Lee
Miami,Miromar Lakes,FL,33913,Lee
Miami,N Fort Myers,FL,33903,Lee
Miami,N Ft Myers,FL,33903,Lee
Miami,Naples,FL,34113,Lee
Miami,North Fort Myers,FL,33903,Lee
Miami,North Fort Myers,FL,33917,Lee
Miami,North Ft Myers,FL,33903,Lee
Miami,North Ft Myers,FL,33902,Lee
Miami,Punta Gorda,FL,33955,Lee
Miami,Sanibel,FL,33957,Lee
Miami,Sanibel Isl,FL,33957,Lee
Miami,Sanibel Island,FL,33957,Lee
Miami,Hobe Sound,FL,33455,Martin
Miami,Jensen Bch,FL,34957,Martin
Miami,Jensen Beach,FL,34957,Martin
Miami,Palm City,FL,34990,Martin
Miami,Stuart,FL,34994,Martin
Miami,Stuart,FL,34996,Martin
Miami,Stuart,FL,34997,Martin
Miami,Stuart,FL,34995,Martin
Miami,Stuart,FL,34990,Martin
Miami,Stuart-Hutchinson Is,FL,34996,Martin
Miami,Wesley Chapel,FL,33455,Martin
Miami,Big Coppitt Key,FL,33040,Monroe
Miami,Big Pine Key,FL,33043,Monroe
Miami,Duck Key,FL,33050,Monroe
Miami,Islamorada,FL,33036,Monroe
Miami,Key Largo,FL,33037,Monroe
Miami,Key West,FL,33040,Monroe
Miami,Marathon,FL,33050,Monroe
Miami,Marathon Shores,FL,33050,Monroe
Miami,Plantation Key,FL,33036,Monroe
Miami,Stock Island,FL,33040,Monroe
Miami,Tavernier,FL,33070,Monroe
Miami,Upper Key Largo,FL,33037,Monroe
Miami,Windley Key,FL,33036,Monroe
Miami,Okeechobee,FL,34974,Okeechobee
Miami,Okeechobee,FL,34972,Okeechobee
Miami,Atlantis,FL,33462,Palm Beach
Miami,Atlantis,FL,33461,Palm Beach
Miami,Belle Glade,FL,33430,Palm Beach
Miami,Boca Raton,FL,33431,Palm Beach
Miami,Boca Raton,FL,33432,Palm Beach
Miami,Boca Raton,FL,33486,Palm Beach
Miami,Boca Raton,FL,33487,Palm Beach
Miami,Boca Raton,FL,33434,Palm Beach
Miami,Boca Raton,FL,33428,Palm Beach
Miami,Boca Raton,FL,33496,Palm Beach
Miami,Boca Raton,FL,33433,Palm Beach
