Name,Lat,Lng,Color
"Atlantis, FL",26.5909025,-80.1008762,1
"Ave Maria, FL",26.3368127,-81.4379851,5
"Aventura, FL",25.9564812,-80.1392121,0
"Bal Harbor, FL",25.8917613,-80.1269896,0
"Bal Harbour, FL",25.8917613,-80.1269896,0
"Bay Harbor, FL",25.8875948,-80.1311564,0
"Bay Harbor
Island, FL",25.8875948,-80.1311564,0
"Bay Harbor
Islands, FL",25.8875948,-80.1311564,0
"Bay Harbor Island, FL",25.8875948,-80.1311564,0
"Bay Harbor Islands, FL",25.8875948,-80.1311564,0
"Bay Harbour
Island, FL",25.8875948,-80.1311564,0
"Bay Harbour
Islands, FL",25.8875948,-80.1311564,0
"Belle Glade, FL",26.6845104,-80.6675577,2
"Big Coppitt Key, FL",24.5965342,-81.6600883,4
"Big Pine Key, FL",24.6698652,-81.353969,4
"Boca Raton, FL",26.3683064,-80.1289321,1
"Bonita Bch, FL",26.3514726,-81.855088,5
"Bonita Beach, FL",26.3514726,-81.855088,5
"Bonita Spgs, FL",26.339806,-81.7786972,5
"Bonita Springs, FL",26.339806,-81.7786972,5
"Boynton Bch, FL",26.5317866,-80.0905465,1
"Boynton Beach, FL",26.5317866,-80.0905465,1
"Cape Coral, FL",26.5628537,-81.9495331,5
"Cape Haze, FL",26.8503433,-82.2942613,5
"Carol City, FL",25.9395677,-80.2784745,0
"Charlotte Harbor, FL",26.9583937,-82.0670333,5
"Clewiston, FL",26.7542312,-80.9336753,2
"Coconut Creek, FL",26.2517482,-80.1789351,1
"Cooper City, FL",26.0573112,-80.271716,0
"Coral, FL",26.5628537,-81.9495331,5
"Coral
Gables, FL",25.7491968,-80.2635411,0
"Coral Gab
Les, FL",25.7491968,-80.2635411,0
"Coral Gables, FL",25.7491968,-80.2635411,0
"Coral Springs, FL",26.271192,-80.2706044,1
"Cutler Bay, FL",25.5808323,-80.3468593,0
"Dania, FL",26.052311,-80.1439343,0
"Davie, FL",26.0764783,-80.2521157,0
"Deerfield Beach, FL",26.3184123,-80.0997657,1
"Deering Bay, FL",25.637787,-80.2903498,0
"Del Ray Bch, FL",26.4614625,-80.0728201,1
"Delary Bch, FL",26.4614625,-80.0728201,1
"Delray, FL",26.4614625,-80.0728201,1
"Delray Bch, FL",26.4614625,-80.0728201,1
"Delray Beach, FL",26.4614625,-80.0728201,1
"Doral, FL",25.8195424,-80.3553302,0
"Duck Key, FL",24.7709723,-80.9120139,4
"E Fort Myers, FL",26.640628,-81.8723084,5
"Estero, FL",26.438136,-81.8067523,5
"Fisher
Island, FL",25.7609329,-80.1400459,0
"Fisher Island, FL",25.7609329,-80.1400459,0
"Florida City, FL",25.4478898,-80.4792237,0
"Fort Lauderdale, FL",26.0742344,-80.1506022,0
"Fort Myers, FL",26.640628,-81.8723084,5
"Fort Myers Bch, FL",26.4520248,-81.948145,5
"Fort Myers Beach, FL",26.4520248,-81.948145,5
"Fort Pierce, FL",27.4467056,-80.3256056,2
"Ft Myers, FL",26.640628,-81.8723084,5
"Ft Myers Bch, FL",26.4520248,-81.948145,5
"Ft Myers Beach, FL",26.4520248,-81.948145,5
"Ft Myers St, FL",26.6376545,-81.8704854,5
"Ft Myres, FL",26.640628,-81.8723084,5
"Ft Pierce, FL",27.4467056,-80.3256056,2
"Ft. Pierce, FL",27.4467056,-80.3256056,2
"Glen Ridge, FL",26.6695108,-80.0742086,1
"Golden Gate, FL",26.1878667,-81.6950853,5
"Green Acres, FL",26.6276276,-80.1353896,1
"Green Acres City, FL",26.6276276,-80.1353896,1
"Greenacres, FL",26.6276276,-80.1353896,1
"Gulf Stream, FL",26.4936835,-80.0550417,1
"Gulfstream, FL",26.4936835,-80.0550417,1
"Hallandale, FL",25.9812024,-80.148379,0
"Haverhill, FL",26.6911767,-80.1200433,1
"Hial;Eah, FL",25.8575963,-80.2781057,0
"Hialeah, FL",25.8575963,-80.2781057,0
"Hialeah
Gardens, FL",25.8650961,-80.3244957,0
"Hialeah Gardens, FL",25.8650961,-80.3244957,0
