District,City,State,Zip,County
Orlando,Cape  Canaveral,FL,32920,Brevard
Orlando,Cape Canaveral,FL,32920,Brevard
Orlando,Cape Canaveral,FL,32921,Brevard
Orlando,Cape Canaveral,FL,32935,Brevard
Orlando,Cape Canaveral,FL,32925,Brevard
Orlando,Cape Canaveral,FL,32930,Brevard
Orlando,Cape Canaveral,FL,32901,Brevard
Orlando,Cocoa,FL,32922,Brevard
Orlando,Cocoa,FL,32926,Brevard
Orlando,Cocoa,FL,32927,Brevard
Orlando,Cocoa,FL,32921,Brevard
Orlando,Cocoa,FL,32931,Brevard
Orlando,Cocoa Bch,FL,32931,Brevard
Orlando,Cocoa Beach,FL,32931,Brevard
Orlando,Cocoa Beach,FL,32952,Brevard
Orlando,Cocoa Beach,FL,32922,Brevard
Orlando,Indialantic,FL,32903,Brevard
Orlando,Indialantic,FL,32905,Brevard
Orlando,Indialantic,FL,32955,Brevard
Orlando,Indian Harbour Bch,FL,32937,Brevard
Orlando,Indian Harbour Beach,FL,32937,Brevard
Orlando,Indian Harbour Beach,FL,32903,Brevard
Orlando,Melbourne,FL,32901,Brevard
Orlando,Melbourne,FL,32934,Brevard
Orlando,Melbourne,FL,32935,Brevard
Orlando,Melbourne,FL,32919,Brevard
Orlando,Melbourne,FL,32940,Brevard
Orlando,Melbourne,FL,32905,Brevard
Orlando,Melbourne,FL,32904,Brevard
Orlando,Melbourne,FL,32926,Brevard
Orlando,Melbourne,FL,32902,Brevard
Orlando,Melbourne,FL,32903,Brevard
Orlando,Melbourne Bch,FL,32951,Brevard
Orlando,Melbourne Beach,FL,32951,Brevard
Orlando,Melbourne Shores,FL,32951,Brevard
Orlando,Merrit Island,FL,32952,Brevard
Orlando,Merritt Island,FL,32953,Brevard
Orlando,Merritt Island,FL,32952,Brevard
Orlando,Merritt Island,FL,32954,Brevard
Orlando,Palm Bay,FL,32905,Brevard
Orlando,Palm Bay,FL,32901,Brevard
Orlando,Palm Bay,FL,32909,Brevard
Orlando,Palm Bay,FL,32907,Brevard
Orlando,Palm Bay,FL,32908,Brevard
Orlando,Palm Bay,FL,32935,Brevard
Orlando,Palm Shores,FL,32940,Brevard
Orlando,Port Canaveral,FL,32920,Brevard
Orlando,Rockledge,FL,32955,Brevard
Orlando,Rockledge,FL,32956,Brevard
Orlando,S Melbourne Bch,FL,32951,Brevard
Orlando,Satallite Bch,FL,32937,Brevard
Orlando,Satellite Bch,FL,32937,Brevard
Orlando,Satellite Beach,FL,32937,Brevard
Orlando,Titusville,FL,32780,Brevard
Orlando,Titusville,FL,32796,Brevard
Orlando,Titusville,FL,32783,Brevard
Orlando,Titusville,FL,32937,Brevard
Orlando,Viera,FL,32940,Brevard
Orlando,Viera,FL,32955,Brevard
Orlando,West Melbourne,FL,32904,Brevard
Orlando,Neptune Bch,FL,32266,Duval
Orlando,Neptune Beach,FL,32266,Duval
Orlando,Bunnell,FL,32110,Flagler
Orlando,Flagler Bch,FL,32136,Flagler
Orlando,Flagler Beach,FL,32136,Flagler
Orlando,Palm Coast,FL,32164,Flagler
Orlando,Palm Coast,FL,32137,Flagler
Orlando,Palm Coast,FL,32135,Flagler
Orlando,Palm Coast,FL,23137,Flagler
Orlando,Indialantic Beach,FL,32963,Indian River
