Name,Lat,Lng,Color
"Altamonte Spgs, FL",28.6611089,-81.3656242,3
"Altamonte Springs, FL",28.6611089,-81.3656242,3
"Altoona, FL",28.9658193,-81.6486855,3
"Apopka, FL",28.6934076,-81.5322149,3
"Auburndale, FL",28.0652975,-81.7886906,1
"Bartow, FL",27.8964147,-81.8431374,1
"Belle Isle, FL",28.4731216,-81.3454417,3
"Belleview, FL",29.0552578,-82.0623105,3
"Boynton Bch, FL",26.5317866,-80.0905465,4
"Boynton Beach, FL",26.5317866,-80.0905465,4
"Bradenton, FL",27.4989278,-82.5748194,1
"Bunnell, FL",29.4660863,-81.2578416,0
"Cape  Canaveral, FL",28.3922182,-80.6077132,2
"Cape Canaveral, FL",28.3922182,-80.6077132,2
"Casselberry, FL",28.677775,-81.3278455,3
"Celebration, FL",28.3188815,-81.5407793,1
"Champions Gate, FL",28.2618525,-81.6178933,1
"Clermont, FL",28.5494447,-81.7728543,3
"Cocoa, FL",28.3861159,-80.7419984,2
"Cocoa Bch, FL",28.3200067,-80.6075513,2
"Cocoa Beach, FL",28.3200067,-80.6075513,2
"Davenport, FL",28.1614046,-81.6017417,1
"Daytona, FL",29.2108147,-81.0228331,0
"Daytona Bch, FL",29.2108147,-81.0228331,0
"Daytona Bch Shores, FL",29.1760933,-80.9828323,0
"Daytona Beach, FL",29.2108147,-81.0228331,0
"Daytona Beach Shores, FL",29.1760933,-80.9828323,0
"Debary, FL",28.8713443,-81.3289397,3
"Deland, FL",29.028318,-81.3031179,3
"Delray Beach, FL",26.4614625,-80.0728201,4
"Deltona, FL",28.9005446,-81.2636738,3
"Eatonville, FL",28.6183364,-81.3858914,3
"Edgewater, FL",28.9888754,-80.9022758,0
"Edgewood, FL",28.4867834,-81.3712852,3
"Enterprise, FL",28.8629262,-81.2436227,3
"Eustis, FL",28.8527675,-81.6853534,3
"Fairview Shores, FL",28.5911114,-81.3942365,3
"Fern Park, FL",28.6486372,-81.3513336,3
"Flagler Bch, FL",29.4749754,-81.1270035,0
"Flagler Beach, FL",29.4749754,-81.1270035,0
"Groveland, FL",28.5580546,-81.8511889,3
"Haines City, FL",28.1141841,-81.6178536,1
"Hains City, FL",28.1141841,-81.6178536,1
"Heathrow, FL",28.7728194,-81.3701881,3
"Holly Hill, FL",29.2435916,-81.0375555,0
"Indialantic, FL",28.0894599,-80.5656079,2
"Indialantic Beach, FL",28.0928549,-80.5664493,2
"Indian Harbour Bch, FL",28.1489021,-80.5883855,2
"Indian Harbour Beach, FL",28.1489021,-80.5883855,2
"Indian River Shores, FL",27.7166964,-80.3842173,2
"Indian Rivers Shores, FL",27.7166964,-80.3842173,2
"Kissimme, FL",28.2919557,-81.407571,1
"Kissimmee, FL",28.2919557,-81.407571,1
"Lady Lake, FL",28.9174855,-81.9228604,3
"Lake Buena Vista, FL",28.3695351,-81.5261474,1
"Lake Helen, FL",28.9808195,-81.2333936,3
"Lake Mary, FL",28.7588833,-81.3178446,3
"Lake Wales, FL",27.9014133,-81.5859099,1
"Leesburg, FL",28.810823,-81.8778582,3
"Longwood, FL",28.7030519,-81.3384011,3
"Maitland, FL",28.6277767,-81.3631244,3
"Mascotte, FL",28.5783313,-81.8867451,3
"Melbourne, FL",28.0836269,-80.6081089,2
"Melbourne Bch, FL",28.0683496,-80.5603303,2
"Melbourne Beach, FL",28.0683496,-80.5603303,2
"Melbourne Shores, FL",27.963033,-80.5084185,2
"Merrit Island, FL",28.3180688,-80.6659842,2
"Merritt Island, FL",28.3180688,-80.6659842,2
"Minneola, FL",28.5744441,-81.7461873,3
"Montverde, FL",28.6002769,-81.673964,3
"Mount Dora, FL",28.8024918,-81.644519,3
"Mt Dora, FL",28.8024918,-81.644519,3
"Mulberry, FL",27.8953038,-81.9734172,1
"Neptune Bch, FL",30.311908,-81.3964734,0
"Neptune Beach, FL",30.311908,-81.3964734,0
"New Smyrna Bch, FL",29.0258191,-80.9269984,0
"New Smyrna Beach, FL",29.0258191,-80.9269984,0
"Oakland, FL",28.5551762,-81.6280811,3
"Ocala, FL",29.1871986,-82.1400923,3
"Ocoee, FL",28.5691677,-81.5439619,3
"Oralndo, FL",28.5383355,-81.3792365,3
"Orange City, FL",28.9488761,-81.2986741,3
"Orchid, FL",27.7728055,-80.4169956,2
"Orlando, FL",28.5383355,-81.3792365,3
"Ormond Bch, FL",29.2858129,-81.0558894,0
"Ormond Beach, FL",29.2858129,-81.0558894,0
"Ormond By The Sea, FL",29.3491449,-81.0664455,0
"Ormond By The Sea Bc, FL",29.3491449,-81.0664455,0
"Osteen, FL",28.8461019,-81.1625612,3
"Oviedo, FL",28.669997,-81.2081203,3
"Palatka, FL",29.6485801,-81.6375819,0
"Palm Bay, FL",28.0344621,-80.5886646,2
"Palm Coast, FL",29.5844524,-81.2078699,0
"Palm Shores, FL",28.1975661,-80.6618234,2
"Pierson, FL",29.2394229,-81.4656252,0
"Pine Castle, FL",28.4719489,-81.3678477,3
"Pinecrest, FL",25.6622835,-80.3070395,4
"Poinciana, FL",28.1573736,-81.4709358,1
"Ponce Inlet, FL",29.0963729,-80.9369983,0
"Port Canaveral, FL",28.4103506,-80.6188156,2
"Port Orange, FL",29.1383165,-80.9956105,0
"Reunion, FL",28.2802893,-81.6081299,1
"Rockledge, FL",28.3164498,-80.7269854,2
"S Daytona Bch, FL",29.1953588,-81.0266779,0
"S Melbourne Bch, FL",28.0683496,-80.5603303,2
"Saint Cloud, FL",28.2489016,-81.2811801,1
"Sanford, FL",28.8028612,-81.269453,3
"Satallite Bch, FL",28.1761233,-80.5900519,2
"Satellite Bch, FL",28.1761233,-80.5900519,2
"Satellite Beach, FL",28.1761233,-80.5900519,2
"Sebastian, FL",27.816415,-80.4706078,2
"Sorrento, FL",28.80777,-81.5636838,3
"South Daytona, FL",29.1658158,-81.0044995,0
"St Cloud, FL",28.2489016,-81.2811801,1
"St. Cloud, FL",28.2489016,-81.2811801,1
"Tallahassee, FL",30.4382559,-84.2807329,5
"Tavares, FL",28.8041579,-81.725632,3
"Taveres, FL",28.8041579,-81.725632,3
"The Villages, FL",28.927019,-82.0037608,3
"Titusville, FL",28.6122187,-80.8075537,2
"Umatilla, FL",28.9294316,-81.6656305,3
"University Park, FL",25.7464895,-80.367553,4
"Vero Bch, FL",27.6386434,-80.3972736,2
"Vero Beach, FL",27.6386434,-80.3972736,2
"Viera, FL",28.2666258,-80.7290559,2
"Village Of Golf, FL",26.5025039,-80.1065646,4
"West Melbourne, FL",28.0716832,-80.6533878,2
"Windemere, FL",28.4955593,-81.5347952,3
"Windermere, FL",28.4955593,-81.5347952,3
"Winter Garden, FL",28.5652787,-81.5861847,3
"Winter Haven, FL",28.0222435,-81.7328567,1
"Winter Park, FL",28.5999998,-81.3392352,3
"Winter Spgs, FL",28.6988853,-81.3081226,3
"Winter Springs, FL",28.6988853,-81.3081226,3
"Zellwood, FL",28.7311059,-81.6011849,3
