Name,Lat,Lng,Color
"Cape  Canaveral, FL",28.3922182,-80.6077132,0
"Cape Canaveral, FL",28.3922182,-80.6077132,1
"Cape Canaveral, FL",28.3922182,-80.6077132,2
"Cape Canaveral, FL",28.3922182,-80.6077132,3
"Cape Canaveral, FL",28.3922182,-80.6077132,0
"Cape Canaveral, FL",28.3922182,-80.6077132,1
"Cape Canaveral, FL",28.3922182,-80.6077132,2
"Cocoa, FL",28.3861159,-80.7419984,3
"Cocoa, FL",28.3861159,-80.7419984,0
"Cocoa, FL",28.3861159,-80.7419984,1
"Cocoa, FL",28.3861159,-80.7419984,2
"Cocoa, FL",28.3861159,-80.7419984,3
"Cocoa Bch, FL",28.3200067,-80.6075513,0
"Cocoa Beach, FL",28.3200067,-80.6075513,1
"Cocoa Beach, FL",28.3200067,-80.6075513,2
"Cocoa Beach, FL",28.3200067,-80.6075513,3
"Indialantic, FL",28.0894599,-80.5656079,0
"Indialantic, FL",28.0894599,-80.5656079,1
"Indialantic, FL",28.0894599,-80.5656079,2
"Indian Harbour Bch, FL",28.1489021,-80.5883855,3
"Indian Harbour Beach, FL",28.1489021,-80.5883855,0
"Indian Harbour Beach, FL",28.1489021,-80.5883855,1
"Melbourne, FL",28.0836269,-80.6081089,2
"Melbourne, FL",28.0836269,-80.6081089,3
"Melbourne, FL",28.0836269,-80.6081089,0
"Melbourne, FL",28.0836269,-80.6081089,1
"Melbourne, FL",28.0836269,-80.6081089,2
"Melbourne, FL",28.0836269,-80.6081089,3
"Melbourne, FL",28.0836269,-80.6081089,0
"Melbourne, FL",28.0836269,-80.6081089,1
"Melbourne, FL",28.0836269,-80.6081089,2
"Melbourne, FL",28.0836269,-80.6081089,3
"Melbourne Bch, FL",28.0683496,-80.5603303,0
"Melbourne Beach, FL",28.0683496,-80.5603303,1
"Melbourne Shores, FL",27.963033,-80.5084185,2
"Merrit Island, FL",28.3180688,-80.6659842,3
"Merritt Island, FL",28.3180688,-80.6659842,0
"Merritt Island, FL",28.3180688,-80.6659842,1
"Merritt Island, FL",28.3180688,-80.6659842,2
"Palm Bay, FL",28.0344621,-80.5886646,3
"Palm Bay, FL",28.0344621,-80.5886646,0
"Palm Bay, FL",28.0344621,-80.5886646,1
"Palm Bay, FL",28.0344621,-80.5886646,2
"Palm Bay, FL",28.0344621,-80.5886646,3
"Palm Bay, FL",28.0344621,-80.5886646,0
"Palm Shores, FL",28.1975661,-80.6618234,1
"Port Canaveral, FL",28.4103506,-80.6188156,2
"Rockledge, FL",28.3164498,-80.7269854,3
"Rockledge, FL",28.3164498,-80.7269854,0
"S Melbourne Bch, FL",28.0683496,-80.5603303,1
"Satallite Bch, FL",28.1761233,-80.5900519,2
"Satellite Bch, FL",28.1761233,-80.5900519,3
"Satellite Beach, FL",28.1761233,-80.5900519,0
