State,County,City
TX,Bexar,San Antonio
TX,Kerr,Kerrville
TX,Hidalgo,Mcallen
TX,Hidalgo,Weslaco
TX,Webb,Laredo
TX,Nueces,Corpus Christi
TX,San patricio,Portland
TX,Hidalgo,Pharr
TX,Hidalgo,Edinburg
TX,Kendall,Boerne
TX,Victoria,Victoria
TX,Cameron,Harlingen
TX,Cameron,Brownsville
TX,Cameron,South Padre Island
TX,Dimmit,Carrizo Springs
TX,Nueces,Port Aransas
TX,Hidalgo,Donna
TX,Hidalgo,Mc Allen
TX,El paso,El Paso
TX,Comal,New Braunfels
TX,Tom green,San Angelo
TX,Dallas,Dallas
TX,Gillespie,Fredericksburg
TX,Dewitt,Cuero
TX,Gonzales,Gonzales
TX,Hidalgo,Mercedes
TX,Val verde,Del Rio
TX,Karnes,Kenedy
TX,Aransas,Rockport
TX,Kleberg,Kingsville
TX,Bexar,Universal City
TX,Guadalupe,Schertz
TX,Uvalde,Uvalde
TX,Atascosa,Jourdanton
TX,Karnes,Karnes City
TX,Guadalupe,Seguin
TX,Lavaca,Hallettsville
TX,Comal,Garden Ridge
TX,Comal,San Antonio
TX,Maverick,Eagle Pass
TX,Bee,Beeville
TX,Refugio,Refugio
TX,San patricio,Sinton
TX,Comal,Spring Branch
TX,Hidalgo,Mission
TX,Guadalupe,Cibolo
TX,Bexar,Converse
TX,Zapata,Zapata
TX,Hidalgo,Sullivan City
TX,Dewitt,Yorktown
TX,Jim wells,Alice
TX,Lubbock,Wolfforth
TX,El paso,Clint
TX,La salle,Cotulla
TX,Frio,Pearsall
TX,Lavaca,Yoakum
TX,Guadalupe,San Antonio
TX,El paso,Fort Bliss
TX,Hidalgo,Hidalgo
TX,Nueces,Robstown
TX,Hidalgo,Alamo
TX,Guadalupe,Selma
TX,Hidalgo,La Joya
TX,Smith,Tyler
TX,Brooks,Falfurrias
TX,El paso,Victoria
TX,Medina,Hondo
TX,Bexar,Helotes
TX,Comal,Canyon Lake
TX,Bexar,Von Ormy
TX,Cameron,Eagle Pass
TX,Starr,Rio Grande City
TX,San patricio,Aransas Pass
TX,Real,Leakey
TX,San patricio,Ingleside
TX,Live oak,George West
TX,Hidalgo,San Juan
TX,Bexar,Balcones Heights
TX,Atascosa,Pleasanton
TX,Bexar,Live Oak
TX,Bexar,Brownsville
TX,Kendall,Fair Oaks
TX,Comal,Bulverde
TX,Medina,Castroville
TX,Bandera,Bandera
TX,Bexar,Hollywood Park
TX,Kenedy,Sarita
TX,Bexar,Somerset
TX,Wilson,La Vernia
TX,Bexar,Shavano Park
TX,Blanco,Blanco
TX,Fayette,Flatonia
TX,Bexar,Olmos Park
TX,Webb,Bruni
TX,Medina,Yancey
TX,Live oak,Three Rivers
TX,Nueces,Copus Christi
TX,Caldwell,Luling
TX,Bexar,Elmendorf
TX,Zavala,Crystal City
TX,Comal,Sattler
TX,Bexar,San Anotonio
TX,Guadalupe,Converse
TX,Edwards,Rocksprings
TX,Bexar,Alamo Heights
TX,Uvalde,Knippa
