Name,Lat,Lng,Color
"San Antonio, Bexar, TX",29.4241219,-98.4936282,0
"Kerrville, Kerr, TX",30.0474332,-99.1403189,0
"Mcallen, Hidalgo, TX",26.2034071,-98.2300124,1
"Weslaco, Hidalgo, TX",26.1595194,-97.9908366,1
"Laredo, Webb, TX",27.5035613,-99.5075519,2
"Corpus Christi, Nueces, TX",27.8005828,-97.396381,2
"Portland, San patricio, TX",27.8772463,-97.3238805,2
"Pharr, Hidalgo, TX",26.1947962,-98.1836216,1
"Edinburg, Hidalgo, TX",26.3017374,-98.1633432,1
"Boerne, Kendall, TX",29.7946641,-98.7319703,0
"Victoria, Victoria, TX",28.8052674,-97.0035982,2
"Harlingen, Cameron, TX",26.1906306,-97.6961026,1
"Brownsville, Cameron, TX",25.9017472,-97.4974838,1
"South Padre Island, Cameron, TX",26.1118401,-97.1681257,1
"Carrizo Springs, Dimmit, TX",28.5219292,-99.8606107,3
"Port Aransas, Nueces, TX",27.8339158,-97.0610994,2
"Donna, Hidalgo, TX",26.1703525,-98.05195,1
"Mc Allen, Hidalgo, TX",26.2034071,-98.2300124,1
"El Paso, El paso, TX",31.7618778,-106.4850217,4
"New Braunfels, Comal, TX",29.7030024,-98.1244531,0
"San Angelo, Tom green, TX",31.4637723,-100.4370375,5
"Dallas, Dallas, TX",32.7766642,-96.7969879,5
"Fredericksburg, Gillespie, TX",30.2752011,-98.8719843,0
"Cuero, Dewitt, TX",29.0938652,-97.2891568,2
"Gonzales, Gonzales, TX",29.5016257,-97.4524926,0
"Mercedes, Hidalgo, TX",26.1497977,-97.9136112,1
"Del Rio, Val verde, TX",29.3708857,-100.8958674,3
"Kenedy, Karnes, TX",28.8191468,-97.8486123,2
"Rockport, Aransas, TX",28.0205733,-97.0544341,2
"Kingsville, Kleberg, TX",27.5158689,-97.856109,2
"Universal City, Bexar, TX",29.5480071,-98.2911235,0
"Schertz, Guadalupe, TX",29.5521737,-98.269734,0
"Uvalde, Uvalde, TX",29.2096836,-99.7861679,3
"Jourdanton, Atascosa, TX",28.9180294,-98.5464068,0
"Karnes City, Karnes, TX",28.8849772,-97.9008355,2
"Seguin, Guadalupe, TX",29.5688411,-97.9647269,0
"Hallettsville, Lavaca, TX",29.4438528,-96.9410929,2
"Garden Ridge, Comal, TX",29.6346708,-98.3052907,0
"San Antonio, Comal, TX",29.4199248,-98.5083886,0
"Eagle Pass, Maverick, TX",28.7091433,-100.4995214,3
"Beeville, Bee, TX",28.4008319,-97.7483312,2
"Refugio, Refugio, TX",28.3052838,-97.2752704,2
"Sinton, San patricio, TX",28.0366818,-97.5091611,2
"Spring Branch, Comal, TX",29.8405513,-98.4104996,0
"Mission, Hidalgo, TX",26.2159066,-98.3252932,1
"Cibolo, Guadalupe, TX",29.5854231,-98.2477512,0
"Converse, Bexar, TX",29.5180081,-98.3161241,0
"Zapata, Zapata, TX",26.9072605,-99.2714255,1
