Name,Lat,Lng,Color
"San Antonio, Bexar, TX",29.4241219,-98.49362819999999,0
"Kerrville, Kerr, TX",30.0474332,-99.1403189,1
"Mcallen, Hidalgo, TX",26.2034071,-98.23001239999999,2
"Weslaco, Hidalgo, TX",26.1595194,-97.9908366,3
"Laredo, Webb, TX",27.5035613,-99.5075519,0
"Corpus Christi, Nueces, TX",27.8005828,-97.39638099999999,1
"Portland, San patricio, TX",27.8772463,-97.3238805,2
"Pharr, Hidalgo, TX",26.1947962,-98.1836216,3
"Edinburg, Hidalgo, TX",26.3017374,-98.1633432,0
"Boerne, Kendall, TX",29.79466409999999,-98.7319703,1
"Victoria, Victoria, TX",28.8052674,-97.0035982,2
"Harlingen, Cameron, TX",26.1906306,-97.69610259999999,3
"Brownsville, Cameron, TX",25.9017472,-97.4974838,0
"South Padre Island, Cameron, TX",26.1118401,-97.16812569999999,1
"Carrizo Springs, Dimmit, TX",28.5219292,-99.8606107,2
"Port Aransas, Nueces, TX",27.8339158,-97.06109939999999,3
"Donna, Hidalgo, TX",26.1703525,-98.05194999999999,0
"Mc Allen, Hidalgo, TX",26.2034071,-98.23001239999999,1
"El Paso, El paso, TX",31.7618778,-106.4850217,2
"New Braunfels, Comal, TX",29.7030024,-98.1244531,3
"San Angelo, Tom green, TX",31.4637723,-100.4370375,0
"Dallas, Dallas, TX",32.7766642,-96.79698789999999,1
"Fredericksburg, Gillespie, TX",30.2752011,-98.8719843,2
"Cuero, Dewitt, TX",29.0938652,-97.28915680000001,3
"Gonzales, Gonzales, TX",29.5016257,-97.4524926,0
"Mercedes, Hidalgo, TX",26.1497977,-97.91361119999999,1
"Del Rio, Val verde, TX",29.3708857,-100.8958674,2
"Kenedy, Karnes, TX",28.8191468,-97.8486123,3
"Rockport, Aransas, TX",28.0205733,-97.0544341,0
"Kingsville, Kleberg, TX",27.5158689,-97.85610899999999,1
"Universal City, Bexar, TX",29.5480071,-98.2911235,2
"Schertz, Guadalupe, TX",29.5521737,-98.269734,3
"Uvalde, Uvalde, TX",29.20968359999999,-99.7861679,0
"Jourdanton, Atascosa, TX",28.9180294,-98.5464068,1
"Karnes City, Karnes, TX",28.8849772,-97.9008355,2
"Seguin, Guadalupe, TX",29.5688411,-97.9647269,3
"Hallettsville, Lavaca, TX",29.4438528,-96.9410929,0
"Garden Ridge, Comal, TX",29.63467079999999,-98.3052907,1
"San Antonio, Comal, TX",29.4199248,-98.50838859999999,2
"Eagle Pass, Maverick, TX",28.7091433,-100.4995214,3
"Beeville, Bee, TX",28.4008319,-97.7483312,0
"Refugio, Refugio, TX",28.3052838,-97.2752704,1
"Sinton, San patricio, TX",28.0366818,-97.5091611,2
"Spring Branch, Comal, TX",29.8405513,-98.4104996,3
"Mission, Hidalgo, TX",26.2159066,-98.32529319999999,0
"Cibolo, Guadalupe, TX",29.5854231,-98.24775120000001,1
"Converse, Bexar, TX",29.5180081,-98.3161241,2
"Zapata, Zapata, TX",26.9072605,-99.27142549999999,3
"Sullivan City, Hidalgo, TX",26.2775706,-98.56363300000001,0
"Yorktown, Dewitt, TX",28.9810888,-97.5027719,1
"Alice, Jim wells, TX",27.7522487,-98.0697249,2
"Wolfforth, Lubbock, TX",33.5059189,-102.0090575,3
