Name,Lat,Lng,Color
"Apollo Beach, FL",27.7716947,-82.4062046,1
"Avon Park, FL",27.5958672,-81.5061862,3
"Bayonet Point, FL",28.3243951,-82.6851828,5
"Belleair, FL",27.9358543,-82.8062139,5
"Belleair Bch, FL",27.9230767,-82.8431594,5
"Belleair Beach, FL",27.9230767,-82.8431594,5
"Belleair Bluffs, FL",27.9214103,-82.8170475,5
"Beverly Hills, FL",28.9169245,-82.4581536,2
"Bradenton, FL",27.4989278,-82.5748194,4
"Brandon, FL",27.937801,-82.2859247,1
"Brooksville, FL",28.5552719,-82.3878709,2
"Bushnell, FL",28.6649924,-82.1128629,2
"Citrus Hills, FL",28.8883146,-82.4325971,2
"Clearwater, FL",27.9658533,-82.8001026,5
"Clearwater Bch, FL",27.972065,-82.8285877,5
"Clearwater Beach, FL",27.972065,-82.8285877,5
"Crystal River, FL",28.902479,-82.5926012,2
"Cypress Creek, FL",30.5735501,-82.7940215,0
"Dade City, FL",28.3647248,-82.1959178,1
"Davis Island, FL",27.9145094,-82.4563199,1
"Dover, FL",27.9941885,-82.2195344,1
"Dunedin, FL",28.0197404,-82.7717684,5
"Dunedin Bch, FL",28.0614051,-82.828159,5
"Englewod Bch, FL",26.9250629,-82.3606349,4
"Englewood, FL",26.9620053,-82.3525952,4
"Englewood Bch, FL",26.9250629,-82.3606349,4
"Fort Pierce, FL",27.4467056,-80.3256056,3
"Gibsonton, FL",27.8536365,-82.382593,1
"Grove City, FL",26.9142295,-82.3270394,4
"Gulf Port, FL",27.7483613,-82.7034334,5
"Gulfport, FL",27.7483613,-82.7034334,5
"Hernando, FL",28.8999815,-82.3745401,2
"Holiday, FL",28.18779,-82.7395454,5
"Homosassa, FL",28.7813722,-82.6151001,2
"Hudson, FL",28.3644485,-82.6934343,5
"Indian Rocks Bch, FL",27.8960019,-82.846561,5
"Indian Rocks Beach, FL",27.8960019,-82.846561,5
"Indian Shores, FL",27.862801,-82.8484373,5
"Inverness, FL",28.8354507,-82.3313955,2
"Jupiter, FL",26.9342246,-80.0942087,3
"Kenneth City, FL",27.8155812,-82.7201004,5
"Lady Lake, FL",28.9174855,-81.9228604,2
"Lake Placid, FL",27.2930999,-81.3628502,3
