Name,Lat,Lng,Color
"Apollo Beach, FL",27.7716947,-82.4062046,1
"Avon Park, FL",27.5958672,-81.5061862,3
"Bayonet Point, FL",28.3243951,-82.68518279999999,1
"Belleair, FL",27.9358543,-82.8062139,2
"Belleair Bch, FL",27.9230767,-82.84315939999999,3
"Belleair Beach, FL",27.9230767,-82.84315939999999,0
"Belleair Bluffs, FL",27.9214103,-82.8170475,1
"Beverly Hills, FL",28.9169245,-82.45815360000002,2
"Bradenton, FL",27.4989278,-82.5748194,1
"Brandon, FL",27.937801,-82.2859247,1
"Brooksville, FL",28.5552719,-82.3878709,2
"Bushnell, FL",28.6649924,-82.1128629,2
"Citrus Hills, FL",28.8883146,-82.4325971,3
"Clearwater, FL",27.9658533,-82.8001026,2
"Clearwater Bch, FL",27.972065,-82.8285877,1
"Clearwater Beach, FL",27.972065,-82.8285877,2
"Crystal River, FL",28.902479,-82.59260119999999,0
"Cypress Creek, FL",30.57355009999999,-82.7940215,2
"Dade City, FL",28.3647248,-82.1959178,3
"Davis Island, FL",27.9145094,-82.4563199,2
"Dover, FL",27.9941885,-82.2195344,3
"Dunedin, FL",28.0197404,-82.7717684,3
"Dunedin Bch, FL",28.0614051,-82.828159,3
"Englewod Bch, FL",26.9250629,-82.3606349,0
"Englewood, FL",26.9620053,-82.3525952,0
"Englewood Bch, FL",26.9250629,-82.3606349,3
"Fort Pierce, FL",27.4467056,-80.3256056,1
"Gibsonton, FL",27.8536365,-82.382593,1
"Grove City, FL",26.9142295,-82.32703939999999,0
"Gulf Port, FL",27.7483613,-82.7034334,0
"Gulfport, FL",27.7483613,-82.7034334,1
"Hernando, FL",28.8999815,-82.37454009999999,1
"Holiday, FL",28.18779,-82.73954540000001,1
"Homosassa, FL",28.7813722,-82.6151001,2
"Hudson, FL",28.3644485,-82.69343429999999,1
"Indian Rocks Bch, FL",27.8960019,-82.84656100000001,2
"Indian Rocks Beach, FL",27.8960019,-82.84656100000001,3
"Indian Shores, FL",27.862801,-82.84843730000001,0
"Inverness, FL",28.8354507,-82.3313955,0
"Jupiter, FL",26.9342246,-80.0942087,0
"Kenneth City, FL",27.8155812,-82.72010039999999,1
"Lady Lake, FL",28.9174855,-81.92286039999999,3
