Name,Lat,Lng,Color
"Orange, Orange, TX",30.0929879,-93.7365549,1
"Kountze, Hardin, TX",30.3715975,-94.3124116,1
"Beaumont, Jefferson, TX",30.080174,-94.1265562,1
"Port Arthur, Jefferson, TX",29.8849504,-93.939947,1
"Houston, Harris, TX",29.7604267,-95.3698028,2
"Brenham, Washington, TX",30.1668828,-96.3977442,3
"Bellaire, Harris, TX",29.7057858,-95.4588299,2
"Baytown, Harris, TX",29.7355047,-94.9774274,2
"Kemah, Galveston, TX",29.5427297,-95.0204837,2
"League City, Galveston, TX",29.5074538,-95.0949303,2
"College Station, Brazos, TX",30.627977,-96.3344068,3
"Bryan, Brazos, TX",30.6743643,-96.3699632,3
"Spring, Harris, TX",30.0799405,-95.4171601,3
"Spring, Montgomery, TX",30.3880218,-95.7122988,3
"Galveston, Galveston, TX",29.3013479,-94.7976958,2
"The Woodlands, Montgomery, TX",30.1658207,-95.4612625,3
"Navasota, Grimes, TX",30.3879845,-96.0877349,3
"Conroe, Montgomery, TX",30.3118769,-95.4560512,3
"Sugar Land, Fort bend, TX",29.5984434,-95.6225521,2
"Nederland, Jefferson, TX",29.9743803,-93.9923965,1
"Wharton, Wharton, TX",29.3116366,-96.1027371,4
"Clute, Brazoria, TX",29.0246906,-95.3988291,2
"Lake Jackson, Brazoria, TX",29.0338575,-95.4343859,2
"Angleton, Brazoria, TX",29.16941,-95.4318847,2
"Texas City, Galveston, TX",29.383845,-94.9027002,2
"Channelview, Harris, TX",29.7760599,-95.1146533,2
"Jasper, Jasper, TX",30.920823,-93.9968812,1
"Huntsville, Walker, TX",30.7235263,-95.5507771,3
"Magnolia, Montgomery, TX",30.2093794,-95.7507815,3
"Alvin, Brazoria, TX",29.4238472,-95.2441009,2
"Cleveland, Liberty, TX",30.34132,-95.0854885,3
"La Porte, Harris, TX",29.6657838,-95.0193728,2
"Richmond, Fort bend, TX",29.5821811,-95.7607832,3
"Missouri City, Fort bend, TX",29.6185669,-95.5377215,2
"Prairie View, Waller, TX",30.0932737,-95.9877339,3
"Deer Park, Harris, TX",29.7052284,-95.1238204,2
"Webster, Harris, TX",29.5377315,-95.1182645,2
"Freeport, Brazoria, TX",28.9541368,-95.3596617,2
"Humble, Harris, TX",29.9988312,-95.2621553,2
"Port Lavaca, Calhoun, TX",28.6149968,-96.6260892,4
"Channel View, Harris, TX",29.7760599,-95.1146533,2
"Katy, Harris, TX",29.7857765,-95.8245093,3
"Columbus, Colorado, TX",29.7066232,-96.5396933,4
"Hempstead, Waller, TX",30.0974405,-96.0782918,3
"Willis, Montgomery, TX",30.4249276,-95.4799418,3
"Cypress, Harris, TX",29.9716905,-95.6937856,3
"Nassau Bay, Harris, TX",29.5446753,-95.0910413,2
"Seabrook, Harris, TX",29.5641184,-95.0254839,2
"El Campo, Wharton, TX",29.1966405,-96.2696867,4
"Edna, Jackson, TX",28.9785947,-96.6460877,4
"Sealy, Austin, TX",29.7807878,-96.1571833,3
"Bay City, Matagorda, TX",28.9827565,-95.969402,4
"Stafford, Fort bend, TX",29.6160671,-95.5577221,2
"Shiner, Lavaca, TX",29.4291304,-97.1705425,4
"Silsbee, Hardin, TX",30.3490976,-94.1779624,1
"Montgomery, Montgomery, TX",30.3882613,-95.6963355,3
"Woodville, Tyler, TX",30.7753454,-94.4148791,1
"Tomball, Harris, TX",30.0971621,-95.6160549,3
"Galena Park, Harris, TX",29.7335616,-95.2302123,2
"Pearland, Brazoria, TX",29.5635666,-95.2860474,2
"Bellville, Austin, TX",29.9502253,-96.2571858,3
"New Caney, Montgomery, TX",30.1550179,-95.2155158,3
"Katy, Fort bend, TX",29.7857765,-95.8245093,3
"Port Neches, Jefferson, TX",29.9913244,-93.9585067,1
"Friendswood, Harris, TX",29.5293998,-95.2010447,2
"Porter, Montgomery, TX",30.1044506,-95.2364276,3
"Mont Belvieu, Chambers, TX",29.8477222,-94.890758,2
"Eagle Lake, Colorado, TX",29.5896836,-96.3335769,4
"Dickinson, Galveston, TX",29.4607876,-95.0513172,2
"Jacinto City, Harris, TX",29.7677258,-95.2338319,2
"Dallas, Dallas, TX",32.7766642,-96.7969879,0
"Rosenberg, Fort bend, TX",29.5571825,-95.8085623,3
"Clear Lake Shores, Galveston, TX",29.547452,-95.0321506,2
"Pasadena, Harris, TX",29.6910625,-95.2091006,2
"Brookshire, Waller, TX",29.7860643,-95.9510661,3
"Anahuac, Chambers, TX",29.7730001,-94.6826961,2
"Old Ocean, Brazoria, TX",29.0799726,-95.749673,4
"Livingston, Polk, TX",30.7110216,-94.9330202,1
"Vidor, Orange, TX",30.1316001,-94.0154541,1
"Fresno, Fort bend, TX",29.5388465,-95.4474414,2
"Klein, Harris, TX",30.0477196,-95.5324411,3
"Groves, Jefferson, TX",29.9482695,-93.9171155,1
"Dayton, Liberty, TX",30.0466051,-94.8852026,2
"Santa Fe, Galveston, TX",29.3780129,-95.1057625,2
"Rosenburg, Fort bend, TX",29.5571825,-95.8085623,3
"Shenandoah, Montgomery, TX",30.1802151,-95.4557726,3
"Liberty, Liberty, TX",30.057993,-94.7954783,1
"Crosby, Harris, TX",29.9118885,-95.0621512,2
"West Columbia, Brazoria, TX",29.1438582,-95.6452249,2
"Jamaica Beach, Galveston, TX",29.189684,-94.9796456,2
"Splendora, Montgomery, TX",30.2329914,-95.1610438,3
"Baytown, Chambers, TX",29.7355047,-94.9774274,2
"Webster, Galveston, TX",29.5377315,-95.1182645,2
"Prairie View, Galveston, TX",29.5966678,-95.565656,2
"El Lago, Harris, TX",29.5732685,-95.0429558,2
"Needville, Fort bend, TX",29.3994101,-95.8377297,4
"South Houston, Harris, TX",29.663008,-95.2354902,2
"Trinity, Trinity, TX",30.9463502,-95.3733874,3
"Plantersville, Grimes, TX",30.3329856,-95.8618958,3
"Bridge City, Orange, TX",30.0207678,-93.8457255,1
"Broaddus, San augustine, TX",31.300783,-94.2734546,1
"Port Bolivar, Galveston, TX",29.3807901,-94.7643623,2
"Lumberton, Hardin, TX",30.2657655,-94.1996286,1
"Hitchcock, Galveston, TX",29.3482905,-95.0160368,2
"Jersey Village, Harris, TX",29.887725,-95.5629984,3
"Fulshear, Fort bend, TX",29.6931119,-95.8998969,3
"Manvel, Brazoria, TX",29.4627365,-95.357994,2
"Huffman, Harris, TX",30.0260425,-95.084261,2
"Schulenburg, Fayette, TX",29.6819003,-96.9030365,4
"Kingwood, Harris, TX",30.0500255,-95.1844774,2
"The Woodlands, Harris, TX",30.1658207,-95.4612625,3
"Hearne, Robertson, TX",30.8785238,-96.5930258,0
"Fulshear, Harris, TX",29.6931119,-95.8998969,3
"Waller, Waller, TX",30.0566085,-95.9268986,3
"The Woodlands, Walker, TX",30.2114144,-95.5286571,3
"Winnie, Chambers, TX",29.8202205,-94.3840777,1
"Hockley, Harris, TX",30.026861,-95.8458562,3
"Alvin, Harris, TX",29.4238472,-95.2441009,2
"Bacliff, Galveston, TX",29.5068965,-94.992427,2
"Oak Ridge North, Montgomery, TX",30.1571758,-95.4461148,3
"Sour Lake, Hardin, TX",30.1402122,-94.4110239,1
"Crystal Beach, Galveston, TX",29.457177,-94.6396378,2
"West University, Harris, TX",29.7180075,-95.4338292,2
"Groveton, Trinity, TX",31.0553605,-95.1266751,1
"Lakeway, Harris, TX",30.3539473,-97.9624898,0
"Katy, Austin, TX",30.2531524,-97.7685941,0
"Missouri City, Austin, TX",29.6185669,-95.5377215,2
"Anywhere, Brazoria, TX",29.0476048,-95.5714424,2
"Mt Belvieu, Chambers, TX",29.8477222,-94.890758,2
"Round Rock, Williamson, TX",30.5082551,-97.678896,0
"Palacios, Matagorda, TX",28.7080461,-96.217467,4
"Navasota, Burleson, TX",30.3839023,-96.0902553,3
"Richmond, Harris, TX",29.5821811,-95.7607832,3
"The Woodlands, Grimes, TX",30.158167,-95.4705924,3
"Houston, Montgomery, TX",30.3884179,-95.7009844,3
"Beaumont, Harris, TX",29.8371693,-95.1996551,2
"Houston, Fort bend, TX",29.5692614,-95.8142885,3
"Highlands, Harris, TX",29.818836,-95.0560404,2
"Sugarland, Fort bend, TX",29.5984434,-95.6225521,2
"Corpus Christi, Harris, TX",27.736618,-97.3940398,0
"Hedwig Village, Montgomery, TX",29.7825542,-95.5183574,3
"Tomball, Montgomery, TX",30.0971621,-95.6160549,3
"Atascocita, Harris, TX",29.9988306,-95.1765978,2
"Pearland, Harris, TX",29.5635666,-95.2860474,2
"Hedwig Village, Harris, TX",29.7809441,-95.5212311,3
"College Station, Harris, TX",30.5814696,-96.2904548,3
"Meadows Place, Fort bend, TX",29.6513643,-95.5880883,2
