Name,Lat,Lng,Color
"Orange,Orange,TX",30.0929879,-93.7365549,0
"Kountze,Hardin,TX",30.3715975,-94.31241159999999,1
"Beaumont,Jefferson,TX",30.080174,-94.1265562,2
"Port Arthur,Jefferson,TX",29.8849504,-93.93994699999999,3
"Houston,Harris,TX",29.7604267,-95.3698028,0
"Brenham,Washington,TX",30.1668828,-96.39774419999999,1
"Bellaire,Harris,TX",29.7057858,-95.4588299,2
"Baytown,Harris,TX",29.7355047,-94.97742740000001,3
"Kemah,Galveston,TX",29.5427297,-95.0204837,0
"League City,Galveston,TX",29.5074538,-95.0949303,1
"College Station,Brazos,TX",30.627977,-96.3344068,2
"Bryan,Brazos,TX",30.6743643,-96.3699632,3
"Spring,Harris,TX",30.0799405,-95.41716009999999,0
"Spring,Montgomery,TX",30.3880218,-95.7122988,1
"Galveston,Galveston,TX",29.3013479,-94.7976958,2
"The Woodlands,Montgomery,TX",30.1658207,-95.46126249999999,3
"Navasota,Grimes,TX",30.3879845,-96.0877349,0
"Conroe,Montgomery,TX",30.3118769,-95.45605119999999,1
"Sugar Land,Fort bend,TX",29.5984434,-95.6225521,2
"Nederland,Jefferson,TX",29.9743803,-93.9923965,3
"Wharton,Wharton,TX",29.3116366,-96.1027371,0
"Clute,Brazoria,TX",29.0246906,-95.3988291,1
"Lake Jackson,Brazoria,TX",29.0338575,-95.4343859,2
"Angleton,Brazoria,TX",29.16941,-95.4318847,3
"Texas City,Galveston,TX",29.383845,-94.9027002,0
"Channelview,Harris,TX",29.7760599,-95.11465330000001,1
"Jasper,Jasper,TX",30.920823,-93.99688119999999,2
"Huntsville,Walker,TX",30.7235263,-95.55077709999999,3
"Magnolia,Montgomery,TX",30.2093794,-95.75078150000002,0
"Alvin,Brazoria,TX",29.4238472,-95.24410089999999,1
"Cleveland,Liberty,TX",30.34132,-95.0854885,2
"La Porte,Harris,TX",29.6657838,-95.0193728,3
"Richmond,Fort bend,TX",29.5821811,-95.76078319999999,0
"Missouri City,Fort bend,TX",29.6185669,-95.5377215,1
"Prairie View,Waller,TX",30.0932737,-95.9877339,2
"Deer Park,Harris,TX",29.7052284,-95.1238204,3
"Webster,Harris,TX",29.5377315,-95.1182645,0
"Freeport,Brazoria,TX",28.9541368,-95.35966169999999,1
"Humble,Harris,TX",29.99883119999999,-95.26215529999999,2
"Port Lavaca,Calhoun,TX",28.6149968,-96.6260892,3
"Channel View,Harris,TX",29.7760599,-95.11465330000001,0
"Katy,Harris,TX",29.7857765,-95.8245093,1
"Columbus,Colorado,TX",29.7066232,-96.5396933,2
"Hempstead,Waller,TX",30.0974405,-96.0782918,3
"Willis,Montgomery,TX",30.4249276,-95.47994179999999,0
"Cypress,Harris,TX",29.9716905,-95.6937856,1
"Nassau Bay,Harris,TX",29.5446753,-95.0910413,2
"Seabrook,Harris,TX",29.56411839999999,-95.0254839,3
"El Campo,Wharton,TX",29.19664049999999,-96.2696867,0
"Edna,Jackson,TX",28.9785947,-96.6460877,1
"Sealy,Austin,TX",29.7807878,-96.1571833,2
"Bay City,Matagorda,TX",28.9827565,-95.969402,3
"Stafford,Fort bend,TX",29.6160671,-95.55772209999999,0
"Shiner,Lavaca,TX",29.4291304,-97.1705425,1
"Silsbee,Hardin,TX",30.3490976,-94.17796240000001,2
"Montgomery,Montgomery,TX",30.3882613,-95.69633549999999,3
"Woodville,Tyler,TX",30.7753454,-94.4148791,0
"Tomball,Harris,TX",30.0971621,-95.6160549,1
"Galena Park,Harris,TX",29.7335616,-95.23021229999999,2
"Pearland,Brazoria,TX",29.5635666,-95.2860474,3
"Bellville,Austin,TX",29.9502253,-96.2571858,0
"New Caney,Montgomery,TX",30.1550179,-95.21551579999999,1
"Katy,Fort bend,TX",29.7857765,-95.8245093,2
"Port Neches,Jefferson,TX",29.9913244,-93.9585067,3
"Friendswood,Harris,TX",29.5293998,-95.2010447,0
"Porter,Montgomery,TX",30.1044506,-95.2364276,1
"Mont Belvieu,Chambers,TX",29.8477222,-94.89075799999999,2
"Eagle Lake,Colorado,TX",29.5896836,-96.3335769,3
"Dickinson,Galveston,TX",29.4607876,-95.0513172,0
"Jacinto City,Harris,TX",29.7677258,-95.2338319,1
"Dallas,Dallas,TX",32.7766642,-96.79698789999999,2
"Rosenberg,Fort bend,TX",29.5571825,-95.80856229999999,3
